City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,mafra,-26.1114,-49.8053,58.6,97,1,4.94,BR,1727654837
278,rampur,28.8167,79.0333,75.07,88,100,4.0,IN,1727654557
279,soe,-9.8607,124.284,79.63,48,40,5.99,ID,1727654839
280,xinyuan,37.3,99.0,33.75,79,47,7.52,CN,1727654840
281,inirida,3.8653,-67.9239,73.44,96,100,2.04,CO,1727654841
282,saldanha,-33.0117,17.9442,52.5,65,22,13.38,ZA,1727654843
283,roxas,11.5853,122.7511,83.14,81,99,6.22,PH,1727654844
284,chibougamau,49.9168,-74.3659,53.13,76,6,7.56,CA,1727654845
285,zaragoza,41.6561,-0.8773,68.02,56,0,4.61,ES,1727654846
286,qaqortoq,60.7167,-46.0333,41.56,77,98,4.68,GL,1727654848
287,kavaratti,10.5669,72.642,83.53,74,100,14.81,IN,1727654849
288,kokubu-matsuki,31.7333,130.7667,79.66,73,3,8.75,JP,1727654850
289,uturoa,-16.7333,-151.4333,80.13,74,46,11.43,PF,1727654851
290,dzuunharaa,48.8523,106.4579,28.08,81,84,0.81,MN,1727654852
291,punta del este,-34.9667,-54.95,67.96,77,0,8.05,UY,1727654853
292,shevchenko,48.5,35.0,63.52,37,28,11.1,UA,1727654855
293,waingapu,-9.6567,120.2641,83.53,68,9,8.81,ID,1727654856
294,kristiansund,63.1115,7.732,44.13,54,75,3.44,NO,1727654859
295,tayshet,55.9342,98.0044,39.69,69,100,9.15,RU,1727654860
296,turpan,42.9333,89.1667,54.68,24,0,3.69,CN,1727654861
297,tatsinskiy,48.1968,41.2756,61.12,42,87,21.3,RU,1727654862
298,heroica caborca,30.7167,-112.15,100.96,23,0,18.99,MX,1727654864
299,ataq,14.5377,46.8319,77.07,68,71,8.23,YE,1727654865
300,anadyr,64.75,177.4833,41.5,86,75,11.18,RU,1727654867
301,guerrero negro,27.9769,-114.0611,72.09,69,5,17.25,MX,1727654868
302,nanao,37.05,136.9667,78.33,74,100,2.24,JP,1727654869
303,ta`u,-14.2336,-169.5144,79.75,81,41,20.0,AS,1727654871
304,howard springs,-12.497,131.047,87.98,74,59,6.53,AU,1727654872
305,revelstoke,50.9832,-118.2023,53.62,62,75,14.97,CA,1727654873
306,peterhead,57.5058,-1.7981,52.2,87,100,19.28,GB,1727654874
307,akureyri,65.6835,-18.0878,33.8,96,96,7.52,IS,1727654875
308,valdivia,-39.8142,-73.2459,53.69,98,100,11.88,CL,1727654877
309,san antonio de pale,-1.4014,5.6325,77.61,77,99,9.75,GQ,1727654878
310,taitung city,22.7583,121.1444,80.87,83,75,18.41,TW,1727654879
311,mogocha,53.7333,119.7667,34.03,48,89,4.61,RU,1727654880
312,tyre,33.2733,35.1939,75.2,74,0,3.58,LB,1727654881
313,new norfolk,-42.7826,147.0587,59.92,63,75,8.97,AU,1727654882
314,taroa,8.7058,171.2275,83.55,71,92,5.55,MH,1727654884
315,polyarnyy,69.1989,33.4478,36.55,87,100,17.13,RU,1727654885
316,garoua boulai,5.8833,14.55,65.03,95,89,1.3,CM,1727654886
317,hadibu,12.65,54.0333,78.42,81,69,8.95,YE,1727654887
318,mont-laurier,46.5501,-75.4993,59.2,82,5,4.27,CA,1727654888
319,pamanukan,-6.2842,107.8106,80.73,78,100,4.16,ID,1727654890
320,ratnagiri,16.9833,73.3,77.18,92,5,4.5,IN,1727654891
321,noumea,-22.2763,166.4572,78.01,99,32,19.71,NC,1727654621
322,pajara,28.3504,-14.1076,69.31,78,2,11.07,ES,1727654893
323,isperih,43.7167,26.8333,50.5,90,100,13.47,BG,1727654894
324,kencong,-8.2833,113.3667,80.2,76,25,0.76,ID,1727654896
325,cestos city,5.46,-9.5828,77.45,86,100,6.29,LR,1727654897
326,mount isa,-20.7333,139.5,82.17,24,0,14.97,AU,1727654898
327,ponta delgada,37.7333,-25.6667,75.92,88,75,17.27,PT,1727654899
328,san pedro pochutla,15.7333,-96.4667,75.7,91,100,0.65,MX,1727654900
329,ambalangoda,6.2355,80.0538,79.03,85,96,4.88,LK,1727654901
330,kabalo,-6.05,26.9167,73.81,74,100,3.4,CD,1727654903
331,fuerte olimpo,-21.0415,-57.8738,87.26,29,5,4.9,PY,1727654904
332,beloha,-25.1667,45.05,72.39,73,44,5.12,MG,1727654905
333,salalah,17.0151,54.0924,78.89,89,75,8.05,OM,1727654908
334,dickinson,29.4608,-95.0513,88.09,55,0,9.22,US,1727654909
335,bol,13.4586,14.7147,83.95,67,96,6.26,TD,1727654910
336,perugorria,-29.3413,-58.6106,76.28,52,5,8.88,AR,1727654911
337,saudarkrokur,65.7461,-19.6394,34.86,93,100,11.05,IS,1727654912
338,taoudenni,22.6783,-3.9836,97.36,16,44,9.48,ML,1727654914
339,tual,-5.6667,132.75,81.66,78,100,18.5,ID,1727654915
340,esil,51.9556,66.4042,53.92,47,77,4.65,KZ,1727654916
341,champerico,14.3,-91.9167,80.01,83,97,7.96,GT,1727654917
342,neiafu,-18.65,-173.9833,81.28,65,75,14.97,TO,1727654918
343,khandyga,62.6667,135.6,32.43,91,100,8.7,RU,1727654920
344,albertina,-22.2008,-46.6158,71.08,50,53,6.08,BR,1727654921
345,sandnessjoen,66.0217,12.6316,32.52,59,82,11.43,NO,1727654922
346,timimoun,29.2639,0.231,89.08,29,1,16.2,DZ,1727654923
347,fujin,47.26,132.0322,66.92,66,100,16.78,CN,1727654924
348,vernon,50.2581,-119.2691,54.61,55,91,6.78,CA,1727654925
349,katsuren-haebaru,26.3369,127.8719,82.78,85,75,12.66,JP,1727654927
350,divrigi,39.371,38.1137,65.41,42,0,4.14,TR,1727654928
351,el calafate,-50.3408,-72.2768,34.11,66,93,4.94,AR,1727654929
352,aksuat,48.7167,83.7,35.96,44,6,4.05,KZ,1727654930
353,bardai,11.65,7.2333,72.16,82,42,6.46,NG,1727654931
354,dali,25.7,100.1833,63.21,90,99,1.12,CN,1727654814
355,aldan,58.6031,125.3894,30.29,85,99,9.31,RU,1727654934
356,charikar,35.0136,69.1714,60.33,58,11,0.69,AF,1727654935
357,newman,37.3138,-121.0208,89.83,16,0,7.16,US,1727654936
358,cidreira,-30.1811,-50.2056,65.95,90,0,19.53,BR,1727654937
359,queenstown,-31.8976,26.8753,42.21,54,38,7.78,ZA,1727654939
360,el haouaria,37.05,11.0144,68.11,57,0,6.82,TN,1727654940
361,baglung,28.2719,83.5898,66.65,82,66,4.27,NP,1727654941
362,karratha,-20.7377,116.8463,79.23,46,66,5.97,AU,1727654854
363,atbasar,51.8,68.3333,52.11,52,46,4.0,KZ,1727654943
